image_path,caption_1,caption_2,caption_3,caption_4,caption_5,category
/content/drive/MyDrive/Images/beaches/B (6).jpeg,FOR INSTAGRAM,I'm going to ride off into this sunset,Let's get lost in Miami,wknd,In paradise,beaches
/content/drive/MyDrive/Images/beaches/B (1).jpeg,Savoring the last drops of sunshine,Bikini season,livin the best life,tropic like it's hot,Surf's up,beaches
/content/drive/MyDrive/Images/beaches/B (17).jpeg,More burnt than tan,"in the waves, mind at ease",escape the ordinary,"surfs up, cowboy",Chasing sunsets and ocean views.,beaches
/content/drive/MyDrive/Images/beaches/B (28).jpeg,"You, me, and a tropical island.",warning: beach pics all week coming,seas the day,Good times and tan lines!,I'm going to ride off into this sunset,beaches
/content/drive/MyDrive/Images/beaches/B (2).jpeg,Living on island time.,sunkissed and beach blissed,"I fell in love. His name is Bali Dear Bali, I will never get over you",Waves for days,Ocean+sand= happiness,beaches
/content/drive/MyDrive/Images/beaches/B (16).jpeg,Endless fun in Miami,summer lovin,Happiness is blue sea & white sand.,aloha,under the sun,beaches
/content/drive/MyDrive/Images/beaches/B (19).jpeg,"I am a good fellow, when not with friends!","Lost at sea, never lost at heart.",weekly recap at the beach,Currently 90% frozen cocktails,Sunshine is the best medicine.,beaches
/content/drive/MyDrive/Images/beaches/B (10).jpeg,Sunkissed & Sea-Breezed,Waves of happiness wash over me.,Sun kissed,this summah,"Beach hair, don't care",beaches
/content/drive/MyDrive/Images/beaches/B (20).jpeg,Yay vacay!!,pov me at the beach,"In Bali, life is swell.",back at my favorite place,"I'm not always a frozen cocktail kind of person, but I definitely am in",beaches
/content/drive/MyDrive/Images/beaches/B (4).jpeg,Keep palm and carry on.,Endless blue,It's Miami Beach bar sun,B.E.A.C.H: Best Escape Anyone Can Have.,under the sun,beaches
/content/drive/MyDrive/Images/beaches/B (13).jpeg,My fav place,Beach bum,endless blue,Loving the sea life,Beachin it,beaches
/content/drive/MyDrive/Images/beaches/B (22).jpeg,WAVES AFTER WAVES,GOOD TIMES & TAN LINES,waves for days,"Mermaid hair, don't care. Sunset bliss.",Salty kisses and starfish wishes,beaches
/content/drive/MyDrive/Images/beaches/B (30).jpeg,Living life in full beach mode,Palm trees and 80 degrees,Making memories under the sun.,Salty hair and tan skin,seas the day,beaches
/content/drive/MyDrive/Images/beaches/B (9).jpeg,Saltwater kisses,WAVES AFTER WAVES,Shell yeah!,I'm a firm believer in 'go big or go Bali',FOR INSTAGRAM,beaches
/content/drive/MyDrive/Images/beaches/B (24).jpeg,- i sea u,Good vibes and high tides.,Sunburned and summer-fried,"Don't worry, beach happy.","Salty air, messy hair",beaches
/content/drive/MyDrive/Images/beaches/B (23).jpeg,LIFE IS BETTER IN THE SUN,Beach days are the best days. Making memories.,Chasing the sun,under the sun,summer well spent,beaches
/content/drive/MyDrive/Images/beaches/B (12).jpeg,Endless fun in Miami,stay wavy baby,Life is better with a tan,"Beach, because why not?",waves for days%,beaches
/content/drive/MyDrive/Images/beaches/B (7).jpeg,"Saltwater heart, sandy soul.","Beach, because why not?",Happiest here,Seas the day!,"Life's a beach, be a mermaid",beaches
/content/drive/MyDrive/Images/beaches/B (18).jpeg,Currently 90% frozen cocktails,"Seashell treasures, memories made",sweet sweet summertime,High tides and good vibes.,I'm ready for pumpkin spice everything!,beaches
/content/drive/MyDrive/Images/beaches/B (27).jpeg,"in the waves, mind at ease",block at a swim meet,"I fell in love. His name is Bali Dear Bali, I will never get over you","Goa vibes, good times, and endless smiles.",Seas the day!,beaches
/content/drive/MyDrive/Images/beaches/B (5).jpeg,tan in progress,summer well spent,Hello sunshine and blue waters.,Where the ocean meets my soul.,spf 1000,beaches
/content/drive/MyDrive/Images/beaches/B (38).jpeg,summer lovin,Chase the sun.,Shell-abrate every moment,wanna play mermaids?,Sunshine and sea breeze are my essentials.,beaches
/content/drive/MyDrive/Images/beaches/B (32).jpeg,"I'm a hot mess, and so is the weather",Chasing the sun,salty.,"Don't worry, beach happy.",my 2nd home,beaches
/content/drive/MyDrive/Images/beaches/B (3).jpeg,Mermaid and proud,It's Miami Beach bar sun,beach babes,"Salt in the air, sand in my hair.",kini kinda life,beaches
/content/drive/MyDrive/Images/beaches/B (21).jpeg,Beach bum,Sparkle like a mermaid,"In Bali, life is swell.",VITAMIN SEA,bama,beaches
/content/drive/MyDrive/Images/beaches/B (33).jpeg,Seas the day!,Living my best beach life.,Summer called; it wants its warmth back!,Feeling grateful for this beautiful day.,'tis the seasun,beaches
/content/drive/MyDrive/Images/beaches/B (11).jpeg,Finding bliss in every sunset.,"Beach please, I'm on vacation mode",Make waves,stay trippie lil hippie,Seas the day!,beaches
/content/drive/MyDrive/Images/beaches/B (25).jpeg,Life is better with palm trees.,love it here,wknd,Life is better in flip-flops and sunshine.,summer lovin,beaches
/content/drive/MyDrive/Images/beaches/B (15).jpeg,Waves of happiness wash over me.,sea ya,90% happy 10% burnt,weekly recap at the beach,Girls just wanna have sun,beaches
/content/drive/MyDrive/Images/beaches/B (42).jpeg,"I came, I saw, I got a sunburn",sweet sweet summertime,Sipping cocktails with a view.,go where you feel most alive,aquaholic,beaches
/content/drive/MyDrive/Images/beaches/B (70).jpeg,Chasing the sun,"Happiness comes in waves, ride them all.",Surf's up,Here if you need me,Grateful for beach days and the memories we make.,beaches
/content/drive/MyDrive/Images/beaches/B (50).jpeg,Where the ocean meets my soul.,Who needs sleep?!,kini kinda life,"Ocean soul, mermaid heart",Making memories under the sun.,beaches
/content/drive/MyDrive/Images/beaches/B (43).jpeg,OCEAN LOVER,Endless blue,Goa is the paradise of South Asia!,Never want to leave,Welcome to Miami,beaches
/content/drive/MyDrive/Images/beaches/B (26).jpeg,Wouldn't be mad if I lost my passport,Good vibes and high tides.,Feeling grateful for this beautiful day.,Whoever said New York is the city that never sleeps has clearly never,wknd,beaches
/content/drive/MyDrive/Images/beaches/B (54).jpeg,"Exploring Goa, one picturesque spot at a time.","Where there's a will, there's a wave! Shell yeah, we're Bali bound!",long time no sea,holiday,"Where there's a will, there's a wave! Shell yeah, we're Bali bound!",beaches
/content/drive/MyDrive/Images/beaches/B (41).jpeg,"Beach hair, don't care",Feeling grateful for this beautiful day.,Palm trees and 80 degrees,sun bum,The ocean breeze puts my mind at ease. Finding serenity.,beaches
/content/drive/MyDrive/Images/beaches/B (40).jpeg,In paradise,Currently 90% frozen cocktails,escape the ordinary,Exploring the beauty of the Caribbean.,"I came, I saw, I got a sunburn",beaches
/content/drive/MyDrive/Images/beaches/B (51).jpeg,SHELL YEAH,"In a relationship with the beach, it's getting pretty serious","Where there's a will, there's a wave! Shell yeah, we're Bali bound!",Tidal waves and sunny days,"With you, every day is a holiday.",beaches
/content/drive/MyDrive/Images/beaches/B (35).jpeg,Endless summer vibes ahead.,Embracing the laid-back charm of Goa.,My blood type is Piña Colada,My Happy Place,Ocean's daughter,beaches
/content/drive/MyDrive/Images/beaches/B (36).jpeg,good times and tan lines,My Happy Place,"In Bali, life is swell.",Can't be crabby in Bali.,Waves for days,beaches
/content/drive/MyDrive/Images/beaches/B (62).jpeg,flip flops and deck docks,let the sea set you free,Pure bliss,Beach therapy is the best kind of therapy.,Not complaining about this view Living my best life!,beaches
/content/drive/MyDrive/Images/beaches/B (31).jpeg,Waves for days,"Mermaid hair, don't care. Sunset bliss.",Life is better with palm trees.,Chasing sunsets and ocean views.,skies of blue,beaches
/content/drive/MyDrive/Images/beaches/B (8).jpeg,tan in progress,Life is better in flip flops.,good times & tan lines,Sunkissed and feeling free.,heliophilia,beaches
